municipio,zona,promedio_ciencias,promedio_matematicas,total_accesos_internet,puntaje_stem,brecha_stem,nivel_brecha,nivel_conectividad_base,nivel_conectividad,municipio_normalizado
ABEJORRAL,RURAL,46.906666666666666,47.92,5812.0,47.413333333333334,-0.07278192818453988,alto,básico,básico,ABEJORRAL
ABEJORRAL,URBANO,53.5072463768116,57.31884057971015,5812.0,55.413043478260875,7.926928216743001,bajo,básico,básico,ABEJORRAL
ABRIAQUÍ,URBANO,44.625,47.375,1825.0,46.0,-1.4861152615178739,alto,básico,básico,ABRIAQUI
ACACÍAS,RURAL,51.57541899441341,53.75418994413408,215070.0,52.66480446927375,5.178689207755873,bajo,medio,medio,ACACIAS
ACACÍAS,URBANO,51.10344827586207,53.64017991004498,215070.0,52.37181409295353,4.885698831435654,medio,medio,medio,ACACIAS
ACANDÍ,RURAL,38.794117647058826,38.0,14099.0,38.39705882352941,-9.08905643798846,crítico,básico,básico,ACANDI
ACANDÍ,URBANO,43.47058823529412,46.86274509803921,14099.0,45.16666666666667,-2.3194485948512025,alto,básico,básico,ACANDI
ACEVEDO,RURAL,49.19,50.315,29884.0,49.7525,2.266384738482124,medio,básico,básico,ACEVEDO
ACEVEDO,URBANO,48.40909090909091,49.36363636363637,29884.0,48.88636363636364,1.4002483748457664,medio,básico,básico,ACEVEDO
ACHÍ,RURAL,40.810344827586206,39.770114942528735,1637.0,40.29022988505747,-7.195885376460403,crítico,básico,básico,ACHI
ACHÍ,URBANO,42.68292682926829,43.109756097560975,1637.0,42.89634146341463,-4.589773798103245,alto,básico,básico,ACHI
AGRADO,RURAL,48.0,53.36363636363637,3668.0,50.68181818181819,3.195702920300313,medio,básico,básico,AGRADO
AGRADO,URBANO,49.04761904761905,51.66666666666666,3668.0,50.357142857142854,2.8710275956249802,medio,básico,básico,AGRADO
AGUA DE DIOS,URBANO,49.0919540229885,50.42528735632184,16353.0,49.758620689655174,2.2725054281373005,medio,básico,básico,AGUA DE DIOS
