municipio,zona,promedio_ciencias,promedio_matematicas,total_accesos_internet
ABEJORRAL,RURAL,46.906666666666666,47.92,5812.0
ABEJORRAL,URBANO,53.507246376811594,57.31884057971015,5812.0
ABRIAQUÍ,URBANO,44.625,47.375,1825.0
ACACÍAS,RURAL,51.57541899441341,53.754189944134076,215070.0
ACACÍAS,URBANO,51.10344827586207,53.64017991004498,215070.0
ACANDÍ,RURAL,38.794117647058826,38.0,14099.0
ACANDÍ,URBANO,43.470588235294116,46.86274509803921,14099.0
ACEVEDO,RURAL,49.19,50.315,29884.0
ACEVEDO,URBANO,48.40909090909091,49.36363636363637,29884.0
ACHÍ,RURAL,40.810344827586206,39.770114942528735,1637.0
ACHÍ,URBANO,42.68292682926829,43.109756097560975,1637.0
AGRADO,RURAL,48.0,53.36363636363637,3668.0
AGRADO,URBANO,49.04761904761905,51.666666666666664,3668.0
AGUA DE DIOS,URBANO,49.0919540229885,50.42528735632184,16353.0
AGUACHICA,RURAL,44.8,46.075,105158.0
AGUACHICA,URBANO,45.617037037037036,46.99925925925926,105158.0
AGUADA,URBANO,54.07142857142857,57.785714285714285,220.0
AGUADAS,RURAL,47.622950819672134,48.60655737704918,22434.0
AGUADAS,URBANO,52.375838926174495,54.5503355704698,22434.0
AGUAZUL,RURAL,55.34285714285714,58.32857142857143,46766.0
AGUAZUL,URBANO,50.79545454545455,53.532467532467535,46766.0
AGUSTÍN CODAZZI,RURAL,44.28099173553719,44.37190082644628,28688.0
AGUSTÍN CODAZZI,URBANO,48.188559322033896,48.902542372881356,28688.0
AIPE,RURAL,43.728813559322035,42.813559322033896,7575.0
AIPE,URBANO,42.55855855855856,44.5945945945946,7575.0
ALBANIA,RURAL,42.0233918128655,41.941520467836256,15359.0
ALBANIA,URBANO,48.81404958677686,50.50826446280992,15359.0
ALBÁN,RURAL,48.666666666666664,50.916666666666664,12994.0
ALBÁN,URBANO,49.79807692307692,51.71153846153846,12994.0
ALCALÁ,RURAL,41.6125,42.1625,16002.0
ALCALÁ,URBANO,46.81818181818182,48.29545454545455,16002.0
ALDANA,RURAL,50.81720430107527,53.064516129032256,2766.0
ALEJANDRÍA,RURAL,43.45,36.6,3169.0
ALEJANDRÍA,URBANO,47.31818181818182,53.45454545454545,3169.0
ALGARROBO,RURAL,44.04651162790697,42.13953488372093,8678.0
ALGARROBO,URBANO,41.108333333333334,39.666666666666664,8678.0
ALGECIRAS,RURAL,52.68852459016394,52.950819672131146,17036.0
ALGECIRAS,URBANO,54.58695652173913,59.20652173913044,17036.0
ALMAGUER,RURAL,45.357142857142854,46.52857142857143,199.0
ALMAGUER,URBANO,43.88333333333333,44.61666666666667,199.0
ALMEIDA,URBANO,48.0,51.0,550.0
ALPUJARRA,RURAL,48.0,54.714285714285715,875.0
ALPUJARRA,URBANO,48.666666666666664,51.22222222222222,875.0
ALTAMIRA,URBANO,48.8,51.22857142857143,5832.0
ALTO BAUDÓ,RURAL,35.64912280701754,30.333333333333332,610.0
ALTO BAUDÓ,URBANO,36.523809523809526,33.785714285714285,610.0
ALTOS DEL ROSARIO,RURAL,39.270270270270274,43.0,501.0
ALTOS DEL ROSARIO,URBANO,43.24242424242424,46.81818181818182,501.0
ALVARADO,RURAL,48.09375,49.4375,5719.0
ALVARADO,URBANO,45.765957446808514,47.170212765957444,5719.0
AMAGÁ,RURAL,43.0,42.4,46495.0
AMAGÁ,URBANO,46.17040358744394,47.56502242152467,46495.0
AMALFI,RURAL,47.2,48.333333333333336,26122.0
AMALFI,URBANO,45.38383838383838,48.17171717171717,26122.0
AMBALEMA,RURAL,39.6,41.5,6772.0
AMBALEMA,URBANO,46.54838709677419,52.38709677419355,6772.0
ANAPOIMA,RURAL,49.54838709677419,51.516129032258064,25703.0
ANAPOIMA,URBANO,49.0,51.80263157894737,25703.0
ANCUYÁ,RURAL,48.8421052631579,49.526315789473685,3690.0
ANCUYÁ,URBANO,49.31481481481482,50.907407407407405,3690.0
ANDALUCÍA,RURAL,41.766666666666666,40.56666666666667,24528.0
ANDALUCÍA,URBANO,46.67153284671533,48.802919708029194,24528.0
ANDES,RURAL,45.70744680851064,47.409574468085104,49060.0
ANDES,URBANO,52.50588235294118,54.588235294117645,49060.0
ANGELÓPOLIS,RURAL,37.833333333333336,40.166666666666664,6900.0
ANGELÓPOLIS,URBANO,42.146341463414636,40.4390243902439,6900.0
ANGOSTURA,RURAL,40.490566037735846,39.698113207547166,3929.0
ANGOSTURA,URBANO,42.18181818181818,42.21818181818182,3929.0
ANOLAIMA,RURAL,51.0,53.42253521126761,19212.0
ANOLAIMA,URBANO,52.82608695652174,58.57971014492754,19212.0
ANORÍ,RURAL,39.27272727272727,39.532467532467535,19666.0
ANORÍ,URBANO,38.1764705882353,36.5108359133127,19666.0
ANSERMA,RURAL,46.15,47.5125,43879.0
ANSERMA,URBANO,48.377049180327866,48.91803278688525,43879.0
ANSERMANUEVO,RURAL,46.666666666666664,49.03703703703704,18421.0
ANSERMANUEVO,URBANO,46.21917808219178,48.43835616438356,18421.0
ANZOÁTEGUI,RURAL,48.096774193548384,48.83870967741935,273.0
ANZOÁTEGUI,URBANO,47.02325581395349,47.81395348837209,273.0
ANZÁ,RURAL,43.372093023255815,42.627906976744185,
ANZÁ,URBANO,45.541666666666664,45.875,
APARTADÓ,RURAL,45.757446808510636,47.11914893617021,257304.0
APARTADÓ,URBANO,46.169316375198726,47.310015898251194,257304.0
APULO,URBANO,44.30769230769231,44.94871794871795,10004.0
APÍA,RURAL,40.73913043478261,41.17391304347826,8715.0
APÍA,URBANO,44.60747663551402,44.86915887850467,8715.0
AQUITANIA,RURAL,45.625,48.8125,8244.0
AQUITANIA,URBANO,48.54666666666667,49.12,8244.0
ARACATACA,RURAL,39.83529411764706,37.141176470588235,11181.0
ARACATACA,URBANO,42.90625,43.86328125,11181.0
ARANZAZU,RURAL,54.4,53.7,8978.0
ARANZAZU,URBANO,46.01459854014598,46.24817518248175,8978.0
ARATOCA,RURAL,48.91228070175438,51.98245614035088,14548.0
ARATOCA,URBANO,48.829268292682926,49.609756097560975,14548.0
ARAUCA,RURAL,42.2112676056338,43.15492957746479,107925.0
ARAUCA,URBANO,47.506907545164715,49.54729011689692,107925.0
ARAUQUITA,RURAL,45.47234042553192,46.685106382978724,30056.0
ARAUQUITA,URBANO,46.96470588235294,48.54705882352941,30056.0
ARBELÁEZ,RURAL,53.45945945945946,54.83783783783784,2848.0
ARBELÁEZ,URBANO,49.30508474576271,52.067796610169495,2848.0
ARBOLEDA,RURAL,45.51162790697674,46.13953488372093,1660.0
ARBOLEDA,URBANO,48.9,51.63333333333333,1660.0
ARBOLEDAS,RURAL,47.35064935064935,49.35064935064935,4510.0
ARBOLETES,RURAL,41.283400809716596,40.68016194331984,7820.0
ARBOLETES,URBANO,45.28387096774193,45.66451612903226,7820.0
ARCABUCO,URBANO,49.910714285714285,51.5,3710.0
ARENAL,RURAL,41.55882352941177,39.88235294117647,2268.0
ARENAL,URBANO,40.357142857142854,41.339285714285715,2268.0
ARGELIA,RURAL,44.91851851851852,45.148148148148145,7105.0
ARGELIA,URBANO,44.20967741935484,45.16129032258065,7105.0
ARIGUANÍ,RURAL,45.27272727272727,44.44318181818182,10837.0
ARIGUANÍ,URBANO,45.45787545787546,47.1025641025641,10837.0
ARJONA,RURAL,42.46363636363636,41.67272727272727,68014.0
ARJONA,URBANO,44.276773296244784,44.43671766342142,68014.0
ARMENIA,RURAL,57.16030534351145,59.01526717557252,868112.0
ARMENIA,URBANO,52.20090759075907,53.992161716171616,868112.0
ARMERO,RURAL,40.93333333333333,43.666666666666664,15488.0
ARMERO,URBANO,45.275862068965516,45.04597701149425,15488.0
ARROYOHONDO,RURAL,40.63636363636363,40.45454545454545,2244.0
ARROYOHONDO,URBANO,41.16923076923077,39.06153846153846,2244.0
ASTREA,RURAL,42.8125,43.390625,2080.0
ASTREA,URBANO,44.241379310344826,46.26724137931034,2080.0
ATACO,RURAL,42.688311688311686,44.09090909090909,5783.0
ATACO,URBANO,43.696969696969695,43.53030303030303,5783.0
ATRATO,RURAL,37.5,43.583333333333336,343.0
ATRATO,URBANO,38.06666666666667,45.1,343.0
AYAPEL,RURAL,40.70940170940171,39.58119658119658,18320.0
AYAPEL,URBANO,44.167808219178085,44.40068493150685,18320.0
BAGADÓ,RURAL,34.72727272727273,28.318181818181817,860.0
BAGADÓ,URBANO,42.6764705882353,42.85294117647059,860.0
BAHÍA SOLANO,RURAL,38.19047619047619,37.26190476190476,10837.0
BAHÍA SOLANO,URBANO,40.732142857142854,40.17857142857143,10837.0
BAJO BAUDÓ,RURAL,36.42028985507246,34.53623188405797,2468.0
BAJO BAUDÓ,URBANO,41.578947368421055,41.81578947368421,2468.0
BALBOA,RURAL,45.67333333333333,46.64,3260.0
BALBOA,URBANO,46.43478260869565,48.17391304347826,3260.0
BARANOA,RURAL,46.42622950819672,47.278688524590166,47104.0
BARANOA,URBANO,46.62361623616236,47.90590405904059,47104.0
BARAYA,RURAL,46.833333333333336,47.583333333333336,2302.0
BARAYA,URBANO,50.57692307692308,53.26923076923077,2302.0
BARBACOAS,RURAL,38.97196261682243,36.23364485981308,7929.0
BARBACOAS,URBANO,39.48993288590604,39.85906040268456,7929.0
BARBOSA,RURAL,47.10212765957447,47.625531914893614,136418.0
BARBOSA,URBANO,47.41463414634146,49.739329268292686,136418.0
BARICHARA,RURAL,49.77777777777778,49.44444444444444,18712.0
BARICHARA,URBANO,54.214285714285715,56.65714285714286,18712.0
BARRANCA DE UPÍA,RURAL,44.125,46.410714285714285,4231.0
BARRANCA DE UPÍA,URBANO,37.7,36.6,4231.0
BARRANCABERMEJA,RURAL,49.86666666666667,51.77333333333333,438692.0
BARRANCABERMEJA,URBANO,51.85574837310195,52.85195227765727,438692.0
BARRANCAS,RURAL,40.9375,41.375,25995.0
BARRANCAS,URBANO,43.63066202090592,44.08710801393728,25995.0
BARRANCO DE LOBA,RURAL,40.0,39.74561403508772,2913.0
BARRANCO DE LOBA,URBANO,43.92,42.76,2913.0
BARRANCO MINAS,RURAL,39.815384615384616,38.215384615384615,1422.0
BARRANQUILLA,URBANO,50.13687659264652,51.5358572988715,2617615.0
BECERRIL,RURAL,46.666666666666664,46.0,6398.0
BECERRIL,URBANO,45.87096774193548,46.47741935483871,6398.0
BELALCÁZAR,RURAL,41.25,38.916666666666664,9622.0
BELALCÁZAR,URBANO,47.5625,47.828125,9622.0
BELLO,RURAL,45.06666666666667,44.23809523809524,1501445.0
BELLO,URBANO,48.898812142542894,50.20545534535856,1501445.0
BELMIRA,RURAL,43.61363636363637,45.70454545454545,6632.0
BELMIRA,URBANO,46.46666666666667,47.5,6632.0
BELTRÁN,RURAL,47.785714285714285,51.142857142857146,549.0
BELÉN,RURAL,48.4,52.68,7157.0
BELÉN,URBANO,51.13157894736842,54.90350877192982,7157.0
BELÉN DE BAJIRÁ,RURAL,40.735849056603776,42.16981132075472,
BELÉN DE BAJIRÁ,URBANO,39.68115942028985,37.98550724637681,
BELÉN DE LOS ANDAQUÍES,RURAL,42.73684210526316,45.05263157894737,57.0
BELÉN DE LOS ANDAQUÍES,URBANO,45.53968253968254,48.492063492063494,57.0
BELÉN DE UMBRÍA,RURAL,42.693333333333335,42.13333333333333,34217.0
BELÉN DE UMBRÍA,URBANO,45.325301204819276,46.21084337349398,34217.0
BERBEO,URBANO,56.11764705882353,54.05882352941177,448.0
BETANIA,RURAL,45.5,46.5,8997.0
BETANIA,URBANO,43.56818181818182,44.68181818181818,8997.0
BETULIA,RURAL,43.20987654320987,43.53086419753087,15069.0
BETULIA,URBANO,43.68571428571428,44.40952380952381,15069.0
BETÉITIVA,RURAL,51.22222222222222,58.666666666666664,295.0
BETÉITIVA,URBANO,54.4,55.4,295.0
BITUIMA,URBANO,51.95238095238095,54.61904761904762,127.0
BOAVITA,URBANO,53.80952380952381,57.23809523809524,1380.0
BOCHALEMA,RURAL,53.0,53.666666666666664,4357.0
BOCHALEMA,URBANO,52.12280701754386,54.03508771929825,4357.0
BOGOTA,RURAL,55.48467966573816,57.67966573816156,21582604.0
BOGOTA,URBANO,53.33435948228555,55.7067578600779,21582604.0
BOJACÁ,RURAL,65.66666666666667,74.91666666666667,11863.0
BOJACÁ,URBANO,46.57471264367816,48.86206896551724,11863.0
BOJAYÁ,RURAL,35.13559322033898,30.033898305084747,1327.0
BOJAYÁ,URBANO,35.256410256410255,32.84615384615385,1327.0
BOLÍVAR,RURAL,45.45294117647059,47.33529411764706,12250.0
BOLÍVAR,URBANO,48.23809523809524,50.41428571428571,12250.0
